id,name,base_experience,height,weight,abilities,primary_type,secondary_type,move_1,move_2,move_3,move_4,move_5,hp,attack,defense,special-attack,special-defense,speed
407,roserade,232,9,145,"natural-cure, poison-point, technician",grass,poison,swords-dance,cut,body-slam,poison-sting,pin-missile,60,70,65,125,105,90
408,cranidos,70,9,315,"mold-breaker, sheer-force",rock,,fire-punch,thunder-punch,swords-dance,whirlwind,slam,67,125,40,30,30,58
409,rampardos,173,16,1025,"mold-breaker, sheer-force",rock,,fire-punch,thunder-punch,swords-dance,cut,whirlwind,97,165,60,65,50,58
410,shieldon,70,5,570,"sturdy, soundproof",rock,steel,headbutt,tackle,body-slam,take-down,double-edge,30,42,118,42,88,30
411,bastiodon,173,13,1495,"sturdy, soundproof",rock,steel,headbutt,tackle,body-slam,take-down,double-edge,60,52,168,47,138,30
412,burmy-plant,45,2,34,"shed-skin, overcoat",bug,,tackle,string-shot,snore,protect,hidden-power,40,29,45,29,45,36
413,wormadam-plant,148,5,65,"anticipation, overcoat",bug,grass,gust,tackle,psybeam,hyper-beam,growth,60,59,85,79,105,36
414,mothim-plant,148,9,233,"swarm, tinted-lens",bug,flying,gust,tackle,psybeam,hyper-beam,solar-beam,70,94,50,94,50,66
415,combee,49,3,55,"honey-gather, hustle",bug,flying,gust,string-shot,swift,snore,mud-slap,30,30,42,30,42,70
416,vespiquen,166,12,385,"pressure, unnerve",bug,flying,cut,gust,take-down,poison-sting,pin-missile,70,80,102,80,102,40
417,pachirisu,142,4,39,"run-away, pickup, volt-absorb",electric,,thunder-punch,cut,headbutt,take-down,tail-whip,60,45,70,45,90,95
418,buizel,66,7,295,"swift-swim, water-veil",water,,double-slap,ice-punch,razor-wind,headbutt,tackle,55,65,35,60,30,85
419,floatzel,173,11,335,"swift-swim, water-veil",water,,ice-punch,razor-wind,headbutt,tackle,body-slam,85,105,55,85,50,115
420,cherubi,55,4,33,chlorophyll,grass,,swords-dance,tackle,take-down,double-edge,absorb,45,35,45,62,53,35
421,cherrim-overcast,158,5,93,flower-gift,grass,,swords-dance,tackle,take-down,double-edge,hyper-beam,70,60,70,87,78,85
422,shellos-west,65,3,63,"sticky-hold, storm-drain, sand-force",water,,headbutt,tackle,body-slam,take-down,mist,76,48,48,57,62,34
423,gastrodon-west,166,9,299,"sticky-hold, storm-drain, sand-force",water,ground,headbutt,tackle,body-slam,take-down,water-gun,111,83,68,92,82,39
424,ambipom,169,12,203,"technician, pickup, skill-link",normal,,fire-punch,ice-punch,thunder-punch,scratch,cut,75,100,66,60,66,115
425,drifloon,70,4,12,"aftermath, unburden, flare-boost",ghost,flying,cut,gust,fly,bind,body-slam,90,50,34,60,44,70
426,drifblim,174,12,150,"aftermath, unburden, flare-boost",ghost,flying,cut,gust,fly,bind,body-slam,150,80,44,90,54,80
427,buneary,70,4,55,"run-away, klutz, limber",normal,,pound,mega-punch,fire-punch,ice-punch,thunder-punch,55,66,44,44,56,85
428,lopunny,168,12,333,"cute-charm, klutz, limber",normal,,pound,mega-punch,fire-punch,ice-punch,thunder-punch,65,76,84,54,96,105
429,mismagius,173,9,44,levitate,ghost,,headbutt,growl,psybeam,hyper-beam,thunderbolt,60,60,60,105,105,105
430,honchkrow,177,9,273,"insomnia, super-luck, moxie",dark,flying,gust,wing-attack,fly,take-down,double-edge,100,125,52,105,52,71
431,glameow,62,5,39,"limber, own-tempo, keen-eye",normal,,scratch,cut,sand-attack,headbutt,tackle,49,55,42,42,37,85
432,purugly,158,10,438,"thick-fat, own-tempo, defiant",normal,,scratch,cut,headbutt,tackle,body-slam,71,82,64,64,59,112
433,chingling,57,2,6,levitate,psychic,,bind,tackle,wrap,double-edge,growl,45,30,50,65,50,45
434,stunky,66,4,192,"stench, aftermath, keen-eye",poison,dark,scratch,cut,headbutt,tackle,body-slam,63,63,47,41,41,74
435,skuntank,168,10,380,"stench, aftermath, keen-eye",poison,dark,scratch,cut,headbutt,tackle,body-slam,103,93,67,71,61,84
436,bronzor,60,5,605,"levitate, heatproof, heavy-metal",steel,psychic,tackle,body-slam,take-down,solar-beam,earthquake,57,24,86,24,86,23
437,bronzong,175,13,1870,"levitate, heatproof, heavy-metal",steel,psychic,tackle,body-slam,take-down,psybeam,hyper-beam,67,89,116,79,116,33
438,bonsly,58,5,150,"sturdy, rock-head, rattled",rock,,slam,headbutt,tackle,body-slam,take-down,50,80,95,10,45,10
439,mime-jr,62,6,130,"soundproof, filter, technician",psychic,fairy,pound,double-slap,headbutt,psybeam,solar-beam,20,25,45,70,90,60
440,happiny,110,6,244,"natural-cure, serene-grace, friend-guard",normal,,pound,headbutt,tackle,take-down,double-edge,100,5,5,15,65,30
441,chatot,144,5,19,"keen-eye, tangled-feet, big-pecks",normal,flying,gust,fly,fury-attack,growl,sing,76,65,45,92,42,91
442,spiritomb,170,10,1080,"pressure, infiltrator",ghost,dark,body-slam,disable,psybeam,hyper-beam,toxic,50,92,108,92,108,35
443,gible,60,7,205,"sand-veil, rough-skin",dragon,ground,swords-dance,cut,sand-attack,headbutt,tackle,58,70,45,40,45,42
444,gabite,144,14,560,"sand-veil, rough-skin",dragon,ground,swords-dance,cut,sand-attack,headbutt,tackle,68,90,65,50,55,82
445,garchomp,270,19,950,"sand-veil, rough-skin",dragon,ground,swords-dance,cut,sand-attack,headbutt,tackle,108,130,95,80,85,102
446,munchlax,78,6,1050,"pickup, thick-fat, gluttony",normal,,mega-punch,pay-day,fire-punch,ice-punch,thunder-punch,135,85,40,40,85,5
447,riolu,57,7,202,"steadfast, inner-focus, prankster",fighting,,mega-punch,ice-punch,thunder-punch,swords-dance,mega-kick,40,70,40,35,40,60
448,lucario,184,12,540,"steadfast, inner-focus, justified",fighting,steel,mega-punch,ice-punch,thunder-punch,swords-dance,mega-kick,70,110,70,115,70,90
449,hippopotas,66,8,495,"sand-stream, sand-force",ground,,whirlwind,sand-attack,headbutt,tackle,body-slam,68,72,78,38,42,32
450,hippowdon,184,20,3000,"sand-stream, sand-force",ground,,sand-attack,headbutt,tackle,body-slam,take-down,108,112,118,68,72,47
451,skorupi,66,8,120,"battle-armor, sniper, keen-eye",poison,bug,swords-dance,cut,whirlwind,sand-attack,headbutt,40,50,90,30,55,65
452,drapion,175,13,615,"battle-armor, sniper, keen-eye",poison,dark,swords-dance,cut,headbutt,poison-sting,pin-missile,70,90,110,60,75,95
453,croagunk,60,7,230,"anticipation, dry-skin, poison-touch",poison,fighting,mega-punch,ice-punch,thunder-punch,mega-kick,headbutt,48,61,40,61,40,50
454,toxicroak,172,13,444,"anticipation, dry-skin, poison-touch",poison,fighting,mega-punch,ice-punch,thunder-punch,swords-dance,cut,83,106,65,86,65,85
455,carnivine,159,14,270,levitate,grass,,swords-dance,cut,bind,slam,vine-whip,74,100,72,90,72,46
456,finneon,66,4,70,"swift-swim, storm-drain, water-veil",water,,pound,gust,take-down,water-gun,hydro-pump,49,49,56,49,61,66
457,lumineon,161,12,240,"swift-swim, storm-drain, water-veil",water,,pound,gust,take-down,water-gun,hydro-pump,69,69,76,69,86,91
458,mantyke,69,10,650,"swift-swim, water-absorb, water-veil",water,flying,wing-attack,slam,headbutt,tackle,take-down,45,20,50,60,120,50
459,snover,67,10,505,"snow-warning, soundproof",grass,ice,mega-punch,ice-punch,swords-dance,stomp,headbutt,60,62,50,62,60,40
460,abomasnow,173,22,1355,"snow-warning, soundproof",grass,ice,mega-punch,ice-punch,swords-dance,mega-kick,headbutt,90,92,75,92,85,60
461,weavile,179,11,340,"pressure, pickpocket",dark,ice,mega-punch,ice-punch,scratch,swords-dance,cut,70,120,65,45,85,125
462,magnezone,241,12,1800,"magnet-pull, sturdy, analytic",electric,steel,tackle,body-slam,take-down,double-edge,supersonic,70,70,115,130,90,60
463,lickilicky,180,17,1400,"own-tempo, oblivious, cloud-nine",normal,,mega-punch,fire-punch,ice-punch,thunder-punch,swords-dance,110,85,95,80,95,50
464,rhyperior,241,24,2828,"lightning-rod, solid-rock, reckless",ground,rock,mega-punch,pay-day,fire-punch,ice-punch,thunder-punch,115,140,130,55,55,40
465,tangrowth,187,20,1286,"chlorophyll, leaf-guard, regenerator",grass,,swords-dance,cut,bind,slam,vine-whip,100,100,125,110,50,50
466,electivire,243,18,1386,"motor-drive, vital-spirit",electric,,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,75,123,67,95,85,95
467,magmortar,243,16,680,"flame-body, vital-spirit",fire,,mega-punch,fire-punch,thunder-punch,mega-kick,headbutt,75,95,67,125,95,83
468,togekiss,245,15,380,"hustle, serene-grace, super-luck",fairy,flying,pound,mega-punch,fly,mega-kick,headbutt,85,50,95,120,115,80
469,yanmega,180,19,515,"speed-boost, tinted-lens, frisk",bug,flying,swords-dance,gust,wing-attack,whirlwind,headbutt,86,76,86,116,56,95
470,leafeon,184,10,255,"leaf-guard, chlorophyll",grass,,pay-day,swords-dance,sand-attack,headbutt,tackle,65,110,130,60,65,95
471,glaceon,184,8,259,"snow-cloak, ice-body",ice,,pay-day,sand-attack,headbutt,tackle,body-slam,65,60,110,130,95,65
472,gliscor,179,20,425,"hyper-cutter, sand-veil, poison-heal",ground,flying,guillotine,swords-dance,cut,wing-attack,sand-attack,75,95,125,45,75,95
473,mamoswine,239,25,2910,"oblivious, snow-cloak, thick-fat",ice,ground,headbutt,fury-attack,tackle,body-slam,take-down,110,130,80,70,60,80
474,porygon-z,241,9,340,"adaptability, download, analytic",normal,,tackle,take-down,double-edge,ice-beam,blizzard,85,80,70,135,75,90
475,gallade,233,16,520,"steadfast, sharpness, justified",psychic,fighting,mega-punch,fire-punch,ice-punch,thunder-punch,swords-dance,68,125,65,65,115,80
476,probopass,184,14,3400,"sturdy, magnet-pull, sand-force",rock,steel,fire-punch,ice-punch,thunder-punch,headbutt,tackle,60,55,145,75,150,40
477,dusknoir,236,22,1066,"pressure, frisk",ghost,,mega-punch,fire-punch,ice-punch,thunder-punch,bind,45,100,135,65,135,45
478,froslass,168,13,266,"snow-cloak, cursed-body",ice,ghost,ice-punch,headbutt,body-slam,take-down,leer,70,80,70,80,70,110
479,rotom,154,3,3,levitate,electric,ghost,thunder-shock,thunderbolt,thunder-wave,thunder,toxic,50,50,77,95,77,91
480,uxie,261,3,3,levitate,psychic,,fire-punch,ice-punch,thunder-punch,headbutt,psybeam,75,75,130,75,130,95
481,mesprit,261,3,3,levitate,psychic,,fire-punch,ice-punch,thunder-punch,headbutt,double-edge,80,105,105,105,105,80
482,azelf,261,3,3,levitate,psychic,,fire-punch,ice-punch,thunder-punch,headbutt,double-edge,75,125,70,125,70,115
483,dialga,306,54,6830,"pressure, telepathy",steel,dragon,cut,headbutt,body-slam,take-down,roar,100,120,120,150,100,90
484,palkia,306,42,3360,"pressure, telepathy",water,dragon,cut,headbutt,body-slam,take-down,roar,90,120,100,150,120,100
485,heatran,270,17,4300,"flash-fire, flame-body",fire,steel,headbutt,body-slam,take-down,leer,roar,91,90,106,130,106,77
486,regigigas,302,37,4200,slow-start,normal,,pound,mega-punch,fire-punch,ice-punch,thunder-punch,110,160,110,80,110,100
487,giratina-altered,306,45,7500,"pressure, telepathy",ghost,dragon,cut,fly,headbutt,body-slam,take-down,150,100,120,100,120,90
488,cresselia,270,15,856,levitate,psychic,,tackle,body-slam,mist,ice-beam,psybeam,120,70,110,75,120,85
489,phione,216,4,31,hydration,water,,supersonic,water-gun,hydro-pump,surf,ice-beam,80,80,80,80,80,80
490,manaphy,270,3,14,hydration,water,,supersonic,water-gun,hydro-pump,surf,ice-beam,100,100,100,100,100,100
491,darkrai,270,15,505,bad-dreams,dark,,swords-dance,cut,headbutt,disable,ice-beam,70,90,90,135,90,125
492,shaymin-land,270,2,21,natural-cure,grass,,swords-dance,headbutt,take-down,double-edge,hyper-beam,100,100,100,100,100,100
493,arceus-normal,324,32,3200,multitype,normal,,swords-dance,cut,fly,headbutt,body-slam,120,120,120,120,120,120
494,victini,270,4,40,victory-star,psychic,fire,mega-punch,fire-punch,thunder-punch,mega-kick,headbutt,100,100,100,100,100,100
495,snivy,62,6,81,"overgrow, contrary",grass,,swords-dance,cut,bind,slam,vine-whip,45,45,55,45,55,63
496,servine,145,8,160,"overgrow, contrary",grass,,swords-dance,cut,bind,slam,vine-whip,60,60,75,60,75,83
497,serperior,238,33,630,"overgrow, contrary",grass,,swords-dance,cut,bind,slam,vine-whip,75,75,95,75,95,113
498,tepig,62,5,99,"blaze, thick-fat",fire,,fire-punch,tackle,body-slam,take-down,thrash,65,63,45,45,45,45
499,pignite,146,10,555,"blaze, thick-fat",fire,fighting,fire-punch,thunder-punch,tackle,body-slam,take-down,90,93,55,70,55,55
500,emboar,238,16,1500,"blaze, reckless",fire,fighting,fire-punch,thunder-punch,tackle,body-slam,take-down,110,123,65,100,65,65
501,oshawott,62,5,59,"torrent, shell-armor",water,,swords-dance,cut,tackle,take-down,tail-whip,55,55,45,63,45,45
502,dewott,145,8,245,"torrent, shell-armor",water,,swords-dance,cut,tackle,take-down,tail-whip,75,75,60,83,60,60
503,samurott,238,15,946,"torrent, shell-armor",water,,swords-dance,cut,tackle,body-slam,take-down,95,100,85,108,70,70
504,patrat,51,5,116,"run-away, keen-eye, analytic",normal,,swords-dance,cut,slam,sand-attack,tackle,45,55,39,35,39,42
505,watchog,147,11,270,"illuminate, keen-eye, analytic",normal,,fire-punch,ice-punch,thunder-punch,swords-dance,cut,60,85,69,60,69,77
506,lillipup,55,4,41,"vital-spirit, pickup, run-away",normal,,sand-attack,tackle,take-down,leer,bite,45,60,45,25,45,55
507,herdier,130,9,147,"intimidate, sand-rush, scrappy",normal,,tackle,take-down,leer,bite,roar,65,80,65,35,65,60
508,stoutland,225,12,610,"intimidate, sand-rush, scrappy",normal,,tackle,take-down,leer,bite,roar,85,110,90,45,90,80
509,purrloin,56,4,101,"limber, unburden, prankster",dark,,pay-day,scratch,cut,sand-attack,growl,41,50,37,50,37,66
510,liepard,156,11,375,"limber, unburden, prankster",dark,,pay-day,scratch,cut,sand-attack,growl,64,88,50,88,50,106
511,pansage,63,6,105,"gluttony, overgrow",grass,,scratch,cut,vine-whip,leer,bite,50,53,48,53,48,64
512,simisage,174,11,305,"gluttony, overgrow",grass,,cut,leer,hyper-beam,low-kick,solar-beam,75,98,63,98,63,101
513,pansear,63,6,110,"gluttony, blaze",fire,,fire-punch,scratch,cut,leer,bite,50,53,48,53,48,64
514,simisear,174,10,280,"gluttony, blaze",fire,,fire-punch,cut,leer,flamethrower,hyper-beam,75,98,63,98,63,101
515,panpour,63,6,135,"gluttony, torrent",water,,ice-punch,scratch,cut,leer,bite,50,53,48,53,48,64
516,simipour,174,10,290,"gluttony, torrent",water,,ice-punch,cut,leer,surf,ice-beam,75,98,63,98,63,101
517,munna,58,6,233,"forewarn, synchronize, telepathy",psychic,,sonic-boom,psybeam,thunder-wave,toxic,psychic,76,25,45,67,55,24
518,musharna,170,11,605,"forewarn, synchronize, telepathy",psychic,,psybeam,hyper-beam,thunder-wave,toxic,psychic,116,55,85,107,95,29
519,pidove,53,3,21,"big-pecks, super-luck, rivalry",normal,flying,razor-wind,gust,fly,leer,growl,50,55,50,36,30,43
520,tranquill,125,6,150,"big-pecks, super-luck, rivalry",normal,flying,razor-wind,gust,fly,leer,growl,62,77,62,50,42,65
521,unfezant,220,12,290,"big-pecks, super-luck, rivalry",normal,flying,razor-wind,gust,fly,leer,growl,80,115,80,65,55,93
522,blitzle,59,8,298,"lightning-rod, motor-drive, sap-sipper",electric,,stomp,double-kick,sand-attack,body-slam,take-down,45,60,32,50,32,76
523,zebstrika,174,16,795,"lightning-rod, motor-drive, sap-sipper",electric,,stomp,double-kick,sand-attack,body-slam,take-down,75,100,63,80,63,116
524,roggenrola,56,4,180,"sturdy, weak-armor, sand-force",rock,,sand-attack,headbutt,tackle,take-down,strength,55,75,85,25,25,15
525,boldore,137,9,1020,"sturdy, weak-armor, sand-force",rock,,sand-attack,headbutt,tackle,strength,earthquake,70,105,105,50,40,20
526,gigalith,232,17,2600,"sturdy, sand-stream, sand-force",rock,,sand-attack,headbutt,tackle,hyper-beam,strength,85,135,130,60,80,25
527,woobat,65,4,21,"unaware, klutz, simple",psychic,flying,gust,fly,supersonic,thunder-wave,toxic,65,45,43,55,43,72
528,swoobat,149,9,105,"unaware, klutz, simple",psychic,flying,gust,fly,hyper-beam,thunder-wave,toxic,67,57,55,77,55,114
529,drilbur,66,3,85,"sand-rush, sand-force, mold-breaker",ground,,scratch,swords-dance,cut,take-down,double-edge,60,85,40,30,45,68
530,excadrill,178,7,404,"sand-rush, sand-force, mold-breaker",ground,steel,scratch,swords-dance,cut,horn-drill,body-slam,110,135,60,50,65,88
531,audino,390,11,310,"healer, regenerator, klutz",normal,,pound,double-slap,mega-punch,fire-punch,ice-punch,103,60,86,60,86,50
532,timburr,61,6,125,"guts, sheer-force, iron-fist",fighting,,pound,comet-punch,mega-punch,fire-punch,ice-punch,75,80,55,25,35,35
533,gurdurr,142,12,400,"guts, sheer-force, iron-fist",fighting,,pound,mega-punch,fire-punch,ice-punch,thunder-punch,85,105,85,40,50,40
534,conkeldurr,227,14,870,"guts, sheer-force, iron-fist",fighting,,pound,mega-punch,fire-punch,ice-punch,thunder-punch,105,140,95,55,65,45
535,tympole,59,5,45,"swift-swim, hydration, water-absorb",water,,growl,supersonic,acid,mist,hydro-pump,50,50,40,50,40,64
536,palpitoad,134,8,170,"swift-swim, hydration, water-absorb",water,ground,growl,supersonic,acid,hydro-pump,surf,75,65,55,65,55,69
537,seismitoad,229,15,620,"swift-swim, poison-touch, water-absorb",water,ground,mega-punch,ice-punch,mega-kick,growl,supersonic,105,95,75,85,75,74
538,throh,163,13,555,"guts, inner-focus, mold-breaker",fighting,,mega-punch,fire-punch,ice-punch,thunder-punch,bind,120,100,85,30,85,45
539,sawk,163,14,510,"sturdy, inner-focus, mold-breaker",fighting,,karate-chop,mega-punch,fire-punch,ice-punch,thunder-punch,75,125,75,30,75,85
540,sewaddle,62,3,25,"swarm, chlorophyll, overcoat",bug,grass,razor-wind,cut,tackle,take-down,razor-leaf,45,53,70,40,60,42
541,swadloon,133,5,73,"leaf-guard, chlorophyll, overcoat",bug,grass,cut,tackle,take-down,razor-leaf,solar-beam,55,63,90,50,80,42
542,leavanny,225,12,205,"swarm, chlorophyll, overcoat",bug,grass,swords-dance,cut,tackle,take-down,hyper-beam,75,103,80,70,80,92
543,venipede,52,4,53,"poison-point, swarm, speed-boost",bug,poison,take-down,double-edge,poison-sting,twineedle,pin-missile,30,45,59,30,39,57
544,whirlipede,126,12,585,"poison-point, swarm, speed-boost",bug,poison,take-down,double-edge,poison-sting,pin-missile,solar-beam,40,55,99,40,79,47
545,scolipede,218,25,2005,"poison-point, swarm, speed-boost",bug,poison,swords-dance,cut,take-down,double-edge,poison-sting,60,100,89,55,69,112
546,cottonee,56,3,6,"prankster, infiltrator, chlorophyll",grass,fairy,absorb,mega-drain,leech-seed,growth,razor-leaf,40,27,60,37,50,66
547,whimsicott,168,7,66,"prankster, infiltrator, chlorophyll",grass,fairy,gust,hyper-beam,absorb,mega-drain,leech-seed,60,67,85,77,75,116
548,petilil,56,5,66,"chlorophyll, own-tempo, leaf-guard",grass,,cut,absorb,mega-drain,leech-seed,growth,45,35,50,70,50,30
549,lilligant,168,11,163,"chlorophyll, own-tempo, leaf-guard",grass,,swords-dance,cut,hyper-beam,absorb,mega-drain,70,60,75,110,75,90
550,basculin-red-striped,161,10,180,"reckless, adaptability, mold-breaker",water,,cut,headbutt,tackle,take-down,thrash,70,92,65,80,55,98
551,sandile,58,7,152,"intimidate, moxie, anger-point",ground,dark,cut,sand-attack,body-slam,take-down,thrash,50,72,35,35,35,65
552,krokorok,123,10,334,"intimidate, moxie, anger-point",ground,dark,mega-punch,cut,mega-kick,sand-attack,body-slam,60,82,45,45,45,74
553,krookodile,234,15,963,"intimidate, moxie, anger-point",ground,dark,mega-punch,cut,mega-kick,sand-attack,body-slam,95,117,80,65,70,92
554,darumaka,63,6,375,"hustle, inner-focus",fire,,mega-punch,fire-punch,mega-kick,headbutt,tackle,70,90,45,15,45,50
555,darmanitan-standard,168,13,929,"sheer-force, zen-mode",fire,,mega-punch,fire-punch,mega-kick,headbutt,tackle,105,140,55,30,55,95
556,maractus,161,10,280,"water-absorb, chlorophyll, storm-drain",grass,,pin-missile,peck,absorb,mega-drain,leech-seed,75,86,67,106,67,60
557,dwebble,65,3,145,"sturdy, shell-armor, weak-armor",bug,rock,swords-dance,cut,sand-attack,counter,strength,50,65,85,35,35,55
558,crustle,170,14,2000,"sturdy, shell-armor, weak-armor",bug,rock,swords-dance,cut,sand-attack,hyper-beam,strength,70,105,125,65,75,45
559,scraggy,70,6,118,"shed-skin, moxie, intimidate",dark,fighting,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,50,75,70,35,70,48
560,scrafty,171,11,300,"shed-skin, moxie, intimidate",dark,fighting,mega-punch,fire-punch,ice-punch,thunder-punch,swords-dance,65,90,115,45,115,58
561,sigilyph,172,14,140,"wonder-skin, magic-guard, tinted-lens",psychic,flying,gust,whirlwind,fly,ice-beam,psybeam,72,58,80,103,80,97
562,yamask,61,5,15,mummy,ghost,,disable,toxic,psychic,night-shade,double-team,38,30,85,55,65,30
563,cofagrigus,169,17,765,mummy,ghost,,disable,hyper-beam,toxic,psychic,night-shade,58,50,145,95,105,30
564,tirtouga,71,7,165,"solid-rock, sturdy, swift-swim",water,rock,slam,body-slam,bite,water-gun,hydro-pump,54,78,103,53,45,22
565,carracosta,173,12,810,"solid-rock, sturdy, swift-swim",water,rock,body-slam,bite,water-gun,hydro-pump,surf,74,108,133,83,65,32
566,archen,71,5,95,defeatist,rock,flying,cut,wing-attack,thrash,leer,bite,55,112,45,74,45,70
567,archeops,177,14,320,defeatist,rock,flying,cut,wing-attack,fly,thrash,leer,75,140,65,112,65,110
568,trubbish,66,6,310,"stench, sticky-hold, aftermath",poison,,pound,double-slap,sand-attack,take-down,toxic,50,50,62,40,62,65
569,garbodor,166,19,1073,"stench, weak-armor, aftermath",poison,,pound,double-slap,body-slam,take-down,hyper-beam,80,95,82,60,82,75
570,zorua,66,7,125,illusion,dark,,scratch,swords-dance,cut,take-down,leer,40,65,40,80,40,65
571,zoroark,179,16,811,illusion,dark,,mega-punch,scratch,swords-dance,cut,mega-kick,60,105,60,120,60,105
572,minccino,60,4,58,"cute-charm, technician, skill-link",normal,,pound,double-slap,slam,take-down,tail-whip,55,50,40,40,40,75
573,cinccino,165,5,75,"cute-charm, technician, skill-link",normal,,pound,slam,take-down,double-edge,tail-whip,75,95,60,65,60,115
574,gothita,58,4,58,"frisk, competitive, shadow-tag",psychic,,pound,double-slap,psybeam,thunderbolt,thunder-wave,45,30,50,55,65,45
575,gothorita,137,7,180,"frisk, competitive, shadow-tag",psychic,,pound,double-slap,psybeam,thunderbolt,thunder-wave,60,45,70,75,85,55
576,gothitelle,221,15,440,"frisk, competitive, shadow-tag",psychic,,pound,double-slap,body-slam,psybeam,hyper-beam,70,55,95,95,110,65
577,solosis,58,3,10,"overcoat, magic-guard, regenerator",psychic,,psybeam,thunder-wave,thunder,toxic,confusion,45,30,40,105,50,20
578,duosion,130,6,80,"overcoat, magic-guard, regenerator",psychic,,psybeam,thunder-wave,thunder,toxic,confusion,65,40,50,125,60,30
579,reuniclus,221,10,201,"overcoat, magic-guard, regenerator",psychic,,mega-punch,fire-punch,ice-punch,thunder-punch,body-slam,110,65,75,125,85,30
580,ducklett,61,5,55,"keen-eye, big-pecks, hydration",water,flying,gust,wing-attack,fly,double-edge,water-gun,62,44,50,44,50,55
581,swanna,166,13,242,"keen-eye, big-pecks, hydration",water,flying,gust,wing-attack,fly,double-edge,water-gun,75,87,63,87,63,98
582,vanillite,61,4,57,"ice-body, snow-cloak, weak-armor",ice,,mist,ice-beam,blizzard,toxic,double-team,36,50,50,65,60,44
583,vanillish,138,11,410,"ice-body, snow-cloak, weak-armor",ice,,mist,ice-beam,blizzard,toxic,double-team,51,65,65,80,75,59
584,vanilluxe,241,13,575,"ice-body, snow-warning, weak-armor",ice,,mist,ice-beam,blizzard,hyper-beam,toxic,71,95,85,110,95,79
585,deerling-spring,67,6,195,"chlorophyll, sap-sipper, serene-grace",normal,grass,double-kick,jump-kick,sand-attack,headbutt,tackle,60,60,50,40,50,75
586,sawsbuck-spring,166,19,925,"chlorophyll, sap-sipper, serene-grace",normal,grass,swords-dance,cut,double-kick,jump-kick,sand-attack,80,100,70,60,70,95
587,emolga,150,4,50,"static, motor-drive",electric,flying,cut,tail-whip,solar-beam,thunder-shock,thunderbolt,55,75,60,75,60,103
588,karrablast,63,5,59,"swarm, shed-skin, no-guard",bug,,swords-dance,cut,headbutt,horn-attack,fury-attack,50,75,45,40,45,60
589,escavalier,173,10,330,"swarm, shell-armor, overcoat",bug,steel,swords-dance,cut,headbutt,fury-attack,take-down,70,135,105,60,105,20
590,foongus,59,2,10,"effect-spore, regenerator",grass,poison,body-slam,absorb,mega-drain,growth,solar-beam,69,55,45,55,55,15
591,amoonguss,162,6,105,"effect-spore, regenerator",grass,poison,body-slam,hyper-beam,absorb,mega-drain,growth,114,85,70,85,80,30
592,frillish,67,12,330,"water-absorb, cursed-body, damp",water,ghost,bind,poison-sting,mist,water-gun,hydro-pump,55,40,50,65,85,40
593,jellicent,168,22,1350,"water-absorb, cursed-body, damp",water,ghost,bind,poison-sting,water-gun,hydro-pump,surf,100,60,70,85,105,60
594,alomomola,165,12,316,"healer, hydration, regenerator",water,,pound,double-slap,body-slam,take-down,mist,165,75,80,40,45,65
595,joltik,64,1,6,"compound-eyes, unnerve, swarm",bug,electric,cut,poison-sting,pin-missile,disable,absorb,50,47,50,57,50,65
596,galvantula,165,8,143,"compound-eyes, unnerve, swarm",bug,electric,cut,poison-sting,pin-missile,hyper-beam,absorb,70,77,60,97,60,108
597,ferroseed,61,6,188,iron-barbs,grass,steel,tackle,pin-missile,leech-seed,solar-beam,thunderbolt,44,50,91,24,86,10
598,ferrothorn,171,10,1100,"iron-barbs, anticipation",grass,steel,swords-dance,cut,tackle,pin-missile,hyper-beam,74,94,131,54,116,20
599,klink,60,3,210,"plus, minus, clear-body",steel,,vice-grip,bind,hyper-beam,thunder-shock,thunderbolt,40,55,70,45,60,30
600,klang,154,6,510,"plus, minus, clear-body",steel,,vice-grip,bind,hyper-beam,thunder-shock,thunderbolt,60,80,95,70,85,50
601,klinklang,234,6,810,"plus, minus, clear-body",steel,,vice-grip,bind,hyper-beam,thunder-shock,thunderbolt,60,100,115,70,85,90
602,tynamo,55,2,3,levitate,electric,,tackle,thunder-wave,spark,charge,knock-off,35,55,40,45,40,60
603,eelektrik,142,12,220,levitate,electric,,bind,headbutt,body-slam,take-down,thrash,65,85,70,75,70,40
604,eelektross,232,21,805,levitate,electric,,fire-punch,thunder-punch,cut,bind,headbutt,85,115,80,105,80,50
605,elgyem,67,5,90,"telepathy, synchronize, analytic",psychic,,headbutt,growl,disable,psybeam,thunderbolt,55,55,55,85,55,30
606,beheeyem,170,10,345,"telepathy, synchronize, analytic",psychic,,headbutt,growl,psybeam,hyper-beam,thunderbolt,75,75,75,125,95,40
607,litwick,55,3,31,"flash-fire, flame-body, infiltrator",ghost,fire,acid,ember,flamethrower,solar-beam,fire-spin,50,30,55,65,55,20
608,lampent,130,6,130,"flash-fire, flame-body, infiltrator",ghost,fire,ember,flamethrower,solar-beam,fire-spin,toxic,60,40,60,95,60,55
609,chandelure,234,10,343,"flash-fire, flame-body, infiltrator",ghost,fire,ember,flamethrower,hyper-beam,solar-beam,fire-spin,60,55,90,145,90,80
610,axew,64,6,180,"rivalry, mold-breaker, unnerve",dragon,,scratch,guillotine,razor-wind,swords-dance,cut,46,87,60,30,40,57
